####################### Meta Data Part #############################
	Column Name	Data Type	Description	Label	Validation Text	Unit
1	EXPEDITION	Numeric	expedition code	#	expedition code, required key field between 1 and 9999	#
2	SITE	Numeric	site, number between 1 and 9999	Site	site, required key field between 1 and 9999	#
3	HOLE	text	hole identifier, A-Z	Hole	hole, required key field '[A-Z]'	#
4	CORE	Numeric	core identifier	Core	core identifier, required field, number between 1 and 9999	#
5	SECTION	Numeric	section number	Section	section number >=0	#
6	SECTION_ID	Numeric	section identifier,	Section	section Identifier, required field #	#
7	SECTION_UNIT	Integer	currrent section-unit	Lithology	# #	#
8	TOP_INTERVAL	Double	distance from top of  section-unit to top of section	Distance To Top Of Section	real value >=0.0	cm
9	BOTTOM_INTERVAL	Double	distance from top of  section-unit to top of section	Bottom To Top Of Section	# #	cm
10	TOP_DEPTH	Double	calculated top depth of section-unit	Calculated Top Depth (mbsf)	real value >=0.0	mbsf
11	TOP_DEPTH_MCD	Double	calculated top depth of section-unit	Calculated Top Depth (mcd)	real value >=0.0	mcd
12	UNIT_CLASS	Text	lithological class of section-unit	Unit Class	text string of maximum 30 characters #	#
13	UNIT_TYPE	Text	lithological type of section-unit	Unit Type	text string of maximum 255 characters #	#
14	UNIT_DESC4	Text	structural comments	Structures	text string of maximum 255 characters #	#
15	TEXTURES	Text	optional description of textures	Textures	text string of maximum 255 characters #	#
16	CONTACT_TOP	Text	top contact type of the current section-unit	Top Contact	text string of maximum 30 characters #	#
17	CONTACT_BOTTOM	Text	bottom contact type of the current section-unit	Bottom Contact	text string of maximum 30 characters #	#
18	VEIN_INTENSITY	Double	vein intensity	vein intensity	real values #	#
19	ALTERATION	Text	grade of alteration	Alteration	required text string of max. 255 characters #	#
20	REMARKS1	Memo	#	Veins Intensity Comments	unlimited text string #	#
21	REMARKS2	Memo	#	Structural Intensity Comments	unlimited text string #	#
22	REMARKS4	Memo	#	Rock Type Comments	# #	#
23	REMARKS5	Memo	#	Alteration Intensity Comments	# #	#
24	ANALYST1	Text	initials of data operator	Geologist1	required text string of max. 5 characters #	#
25	ANALYST2	Text	initials of data operator	Geologist2	required text string of max. 5 characters #	#
26	ANALYST3	Text	initials of data operator	Geologist3	required text string of max. 5 characters #	#
27	GRAINSIZE	Text	optional description of grainsize	Grainsize	text string of maximum 30 characters #	#
28	GRAINSIZE2	Text	optional description of grainsize	Grainsize 2	text string of maximum 30 characters #	#
29	UNIT_DESC5	Text	vein feature comments	Vein Features	text string of maximum 255 characters #	#
30	UNIT_DESC3	Text	alteration comments	Alteration	text string of maximum 255 characters #	#
31	DISCONTINUITIES	Text	optional description of discontinuities	Discontinuities	text string of maximum 30 characters #	#

####################### Data Part #############################

EXPEDITION	SITE	HOLE	CORE	SECTION	SECTION_ID	SECTION_UNIT	TOP_INTERVAL	BOTTOM_INTERVAL	TOP_DEPTH	TOP_DEPTH_MCD	UNIT_CLASS	UNIT_TYPE	UNIT_DESC4	TEXTURES	CONTACT_TOP	CONTACT_BOTTOM	VEIN_INTENSITY	ALTERATION	REMARKS1	REMARKS2	REMARKS4	REMARKS5	ANALYST1	ANALYST2	ANALYST3	GRAINSIZE	GRAINSIZE2	UNIT_DESC5	UNIT_DESC3	DISCONTINUITIES
5057	5	B	2	2	3109400	3	35		3.600	3.600	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	Irregular serpentine veins network. Oxidized waxy green serpentine and carbonate vein (4-5 mm thick) cut sub-vertically all the unit. Waxy green serpentine veins (1-5 mm thick) at 45-47 cm, 63 cm, 67 cm and 74 cm. Carbonate veins at 52 cm with euhedral crystals with vugs (>5 mm thick). White fine carbonate veins at 72 cm (~2mm thick).	Open crack at the bottom (carbonate vein) and sub-vertical crack following oxidized waxy green serpentine and carbonate vein in all the unit. Open crack at 46 cm.	Serp. Dunite	serp, carb, ox.	JN	EM		Microcrystalline	Medium grained	NN	NN	
5057	5	B	2	3	3109402	1	0		4.115	4.115	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	mesh texture of black serp and irregular net of black serp veins (0.5-1 mm thick). White carb veins from hairline to 5 mm thick with vughs reactivate pre-existing serp veins. These features ar seen at 8 to 9 cm, 44 to 45 cm. A subvertical white/pale waxy green/bottle green and black carb-serp vein runs through from 0 to 45 cm.	At 45 to 46 cm there is a cataclastic zone with serp fragments . Open crack at top, botoom and at 28 to 56 cm.
Thicke carb veins have subhorizontal dip.	Serp dunite with 7 mm thick altered gabbroic dyke at 61 cm and increased modal px (altered red/pink) at 55 to 64 cm	Serp in veins and mesh texture, carb in veins and lesser ox in veins and bulk rock.	EM			Microcrystalline	Medium grained	NN	NN	
5057	5	B	2	4	3109404	1	0		4.815	4.815	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	net of black serp irregular veins cross-cut mesh texture subvertically. Bottle green and waxy green 1-2 mm wide veins are at seen at 4 to 23 cm and 74 to 76 cm in association with carb veins. Subhorizontal carb veins 1-2 mm wide are at 3 cm and 64 and 67 cm. They show voids/vughs.	open cracks are seen at top and bottom of unit, at 39 cm, 49, 58, 53 to 58 cm, 75 cm, 80 cm	serp dunite with mesh texture and altered gabbroic dyke (red and black) at 5 cm	serp, carb, ox.	EM			Microcrystalline	Medium grained	NN	NN	
5057	5	B	3	1	3109406	1	0		5.700	5.700	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	mesh serp texture with black vein net. Some green and black serp veins at 16 to 27 cm, 37 and 43 cm (in gabbro dyke). White carb vein network 1 to 35 cm; and 5-8 mm veins with black and green serp core and carb rims at 77 cm and 89 and 90 cm.	open crack at top and end of unit, at 22, 28, 35, 55, 76 cm. lineation grooves on open crack at vein surf at 76 cm.	serp dunite with altered gabbroic dykes (pick-red and black) at 4 cm and 18 to 22 cm, 22 to 24 cm, large gabbroic dyke (red and black with alteration veins within and variation from white and black to white, grey and black) between 30 and 52 cm	Serp, carb, ox. Serp in mesh and vein net, carb in veins and ox is patchy and is some veins. Serpentinisation and some ox are more intense at 65 to 73 cm.	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	3	2	3109408	1	0		6.620	6.620	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	Black serpentine veinlets abundant between 0 to 56 cm. Waxy green serp veins at 22 and 26 cm. Black green serpentine vein, reactivating by carbonate veins between 28 to 31 cm. Carbonate veins, re-exploiting pre-existing serpentine veins.	Black serpentine veinlets predominantly dip around 30-40 degrees. Open cracks at the top and the bottom, at 22 cm, at 49 cm.	Serpentinized dunites with horizontal oxidized gabbroic dyke between 4 to 6 cm (2cm thick)	Serp, carb, ox. Serp in mesh and vein net. Serpentinisation and some ox are more intense at 33 to 75 cm.	JN	EM		Microcrystalline	Medium grained	NN	NN	
5057	5	B	3	2	3109408	2	75		7.370	7.370	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	Black serpentine veins network. Fine white carbonate veins.		MICROBIO SAMPLE: serp dunite	Serp in mesh and black vein net, carb mostly in veins,ox.	JN	EM		Microcrystalline	Medium grained	NN	NN	
5057	5	B	3	3	3109410	1	0		7.475	7.475	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	Fine black serpentine veins network dominantly 30-40 degrees dip. Fine white carbonate veins re-exploiting pre-existing pathways of weekness as serpentine veins and one gabbro dyke (64cm). Black green serpentine veins and carbonate veins at the rims at 71 cm. At 39 cm (or cataclasite?) green serp and carb.	Open cracking at top and bottom and at 27 cm and 70 cm. lineation grooves on open crack at the bottom.	serp dunite with altered gabbroic dykes at 5 cm; 7 to 8 cm; 14 to 27cm (white and black, banded); at 39 cm (or cataclasite?) containing magnetite and a milky white matrix; 41 to 56 cm blue and black with oxidised contacts (organge); at 63 cm with top cont	Serp, carb, ox.	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	3	4	3109412	1	0		8.335	8.335	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%	black vein net in dunite and green black serp veins with carbonate in rim at 32 cm (3 mm thick). White carb vein net in dyke at 0 to 24 cm and in dunite along length of unit	irregular carb veins in dyke and subvert in dunite. Dyke is offset by composite vein of ~0.5 cm. Open cracks at top and end of unit	serpentinised dunite with altered gabbroic dyke from 0 to 33 cm continuos with previous unit. Also a dyke at 35 cm.	Serp, carb, ox and other alteration (rodingitic?) in dyke	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	4	1	3109414	1	0		8.700	8.700	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	mesh serp and black serp vein net; glassy green and black serp in vein with carb at 15 cm sorrounded by finer vein net; similar 1 cm vein at 82 cm (with highly oxidized zone between this vein and gabbroic dyke). Sub-horizontal and sub-vertical carbonate veins in all the unit.	Open cracks at the top and the bottom, at 7 cm, 24 cm, 46 cm.	Serp dunite with altered gabbroic dykes at 35 to 36 cm, 44 to 46 cm, from 52 to 73 cm, from 77 to 81 cm and 82 to 88	Serp, carb, ox. Serp in mesh and vein network. Serpentinisation and some ox are more intense at 19 to 41 cm and 49 to 52 cm.	JN	EM		Microcrystalline	Medium grained	NN	NN	
