image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_46_2_1,0.1143,1.4306,0.241,0.2181,0.2898,0.1757,0.6612,7.6863,1.0852,1.0319,2.1995,1.5404,7.4624
CS_5057_5_B_46_3_1,0.1005,1.111,0.1993,0.181,0.2435,0.156,0.5924,6.7108,1.4943,1.3432,2.4027,1.5592,6.3661
CS_5057_5_B_46_4_1,0.1689,2.2142,0.4174,0.4082,0.476,0.2868,1.0245,5.6062,1.1601,0.6727,2.5755,1.688,5.3537
CS_5057_5_B_47_1_1,0.1137,1.092,0.2173,0.217,0.2511,0.1687,0.4998,4.4158,1.4742,1.2782,2.1985,1.4876,4.2599
CS_5057_5_B_47_2_1,0.1706,2.3818,0.5436,0.552,0.6348,0.364,0.9944,6.543,1.8938,1.815,3.5227,2.135,6.1294
CS_5057_5_B_47_3_1,0.1188,1.4677,0.2958,0.2966,0.3268,0.2009,0.6341,7.277,1.8905,2.0906,2.7188,1.6785,6.9076
CS_5057_5_B_47_4_1,0.0499,0.3432,0.0739,0.075,0.0924,0.0662,0.184,4.6106,1.3985,1.3493,1.8477,1.3318,4.5191
CS_5057_5_B_48_1_1,0.1814,2.7004,0.6034,0.5907,0.6508,0.3668,1.0308,7.1034,1.8852,1.8495,3.3461,2.0207,6.5322
CS_5057_5_B_48_2_1,0.1599,1.9138,0.3689,0.3707,0.4217,0.2681,0.9188,4.7347,1.0086,1.1531,2.429,1.6722,4.4945
CS_5057_5_B_48_3_1,0.1195,1.2795,0.2559,0.2616,0.2934,0.1936,0.6,5.3772,1.5924,1.498,2.3149,1.6092,5.2034
CS_5057_5_B_48_4_1,0.0996,1.0086,0.2056,0.2092,0.2462,0.1631,0.5035,5.7094,1.6774,1.6561,2.3495,1.6413,5.4512
CS_5057_5_B_49_1_1,0.1415,1.5205,0.2896,0.2961,0.3315,0.2193,0.7263,4.2815,1.0683,1.239,2.1815,1.5353,4.1946
CS_5057_5_B_49_2_1,0.1254,1.4782,0.2884,0.2563,0.338,0.2056,0.736,6.3091,1.5305,1.3024,2.6527,1.6357,6.0558
CS_5057_5_B_49_3_1,0.1182,1.2247,0.2446,0.2397,0.2752,0.1784,0.5482,5.0522,1.0091,1.3725,2.267,1.511,4.9518
CS_5057_5_B_49_4_1,0.1065,1.1086,0.2243,0.2234,0.2771,0.1813,0.6096,5.6951,1.6924,1.5827,2.4764,1.709,5.6309
CS_5057_5_B_4_1_1,0.08,0.6549,0.1265,0.126,0.1469,0.104,0.2894,4.5561,1.2789,1.3104,1.8185,1.3062,4.3462
CS_5057_5_B_4_2_1,0.0695,0.5365,0.1218,0.1215,0.1526,0.1069,0.3177,4.5542,1.5833,1.5978,2.1951,1.5434,4.4679
CS_5057_5_B_4_3_1,0.0883,0.7406,0.147,0.1441,0.1648,0.1157,0.3225,4.3507,1.3068,1.2287,1.8204,1.3144,4.1265
CS_5057_5_B_4_4_1,0.1131,1.2198,0.2455,0.2469,0.2732,0.1752,0.5545,5.783,1.6948,1.5358,2.2382,1.5548,5.4109
CS_5057_5_B_50_1_1,0.1313,1.6565,0.3024,0.2736,0.3495,0.2113,0.8445,6.9591,1.4471,1.1707,2.6414,1.5903,6.7271
CS_5057_5_B_50_2_1,0.1151,1.2133,0.2463,0.2468,0.2948,0.1938,0.6505,5.4104,1.1558,1.3906,2.4551,1.6874,5.3005
CS_5057_5_B_50_3_1,0.0721,0.6313,0.1264,0.1221,0.1533,0.1047,0.3383,5.5515,1.5235,1.4195,2.0478,1.4582,5.4548
CS_5057_5_B_50_4_1,0.0863,0.7875,0.1578,0.1548,0.1808,0.1244,0.3738,5.2577,1.489,1.3458,2.0557,1.4419,5.037
CS_5057_5_B_51_1_1,0.1498,1.8062,0.366,0.344,0.383,0.2424,0.758,5.3781,1.4832,1.5185,2.4799,1.6076,5.1372
CS_5057_5_B_51_2_1,0.1755,2.5461,0.5002,0.4812,0.5473,0.3115,1.1717,6.9578,1.6444,0.9211,2.7928,1.7266,6.6111
CS_5057_5_B_51_3_1,0.1153,1.145,0.2337,0.2193,0.2452,0.1645,0.48,4.7151,1.3759,1.2305,2.0085,1.431,4.7125
CS_5057_5_B_51_4_1,0.1118,1.1683,0.2338,0.2216,0.2729,0.1821,0.6127,5.4794,1.4288,1.311,2.3293,1.6241,5.2085
CS_5057_5_B_52_1_1,0.1399,1.9283,0.3349,0.2783,0.375,0.2075,0.9187,7.8873,1.7498,1.2229,2.5388,1.4783,7.4365
CS_5057_5_B_52_2_1,0.0925,0.8038,0.1727,0.1698,0.2046,0.1409,0.4368,4.474,1.5538,1.6073,2.1782,1.5287,4.346
CS_5057_5_B_52_3_1,0.1129,1.2764,0.2283,0.1938,0.2576,0.1611,0.592,6.3878,1.35,1.0556,2.2254,1.4214,6.2166
CS_5057_5_B_52_4_1,0.1428,1.6876,0.3368,0.31,0.3784,0.2359,0.7717,5.4514,1.3577,1.2636,2.3683,1.6374,5.2205
CS_5057_5_B_53_1_1,0.1152,1.2319,0.238,0.2158,0.2677,0.1761,0.6056,5.5813,1.1326,1.001,2.2387,1.5306,5.5353
CS_5057_5_B_53_2_1,0.1134,1.0793,0.2198,0.2105,0.2445,0.1653,0.4757,4.3375,1.3963,1.402,2.1352,1.4565,4.2839
CS_5057_5_B_53_3_1,0.1134,1.0793,0.2198,0.2105,0.2445,0.1653,0.4757,4.3375,1.3963,1.402,2.1352,1.4565,4.2839
CS_5057_5_B_53_4_1,0.1215,1.3422,0.2396,0.2398,0.2838,0.1877,0.7154,5.658,1.0619,1.2465,2.261,1.5435,5.5104
CS_5057_5_B_54_1_1,0.1186,1.3053,0.2513,0.242,0.2801,0.1805,0.5845,5.7511,1.3875,1.3577,2.2965,1.5182,5.4319
CS_5057_5_B_54_2_1,0.1458,1.4969,0.2902,0.299,0.3142,0.2086,0.6002,3.4803,0.9653,1.0808,1.9582,1.4298,3.4041
CS_5057_5_B_54_3_1,0.1405,1.7538,0.3239,0.2929,0.375,0.224,0.849,6.342,1.2144,1.2263,2.5409,1.5738,5.9834
CS_5057_5_B_54_4_1,0.124,1.36,0.2513,0.248,0.2798,0.1815,0.5769,5.4469,1.1831,1.1762,2.0547,1.4508,5.2665
CS_5057_5_B_55_1_1,0.1198,1.3428,0.2547,0.2402,0.2963,0.1899,0.714,5.9363,1.3017,1.2571,2.4702,1.584,5.8673
CS_5057_5_B_55_2_1,0.1137,1.1768,0.2199,0.219,0.2499,0.1647,0.5395,5.2692,1.4668,1.4699,2.1732,1.4533,5.1862
CS_5057_5_B_55_3_1,0.1206,1.2059,0.2436,0.2358,0.2656,0.1748,0.4815,4.511,1.41,1.0787,2.1467,1.4536,4.4369
CS_5057_5_B_55_4_1,0.0967,0.9719,0.1813,0.1674,0.2143,0.141,0.5239,5.7715,1.3011,1.195,2.1772,1.4637,5.6037
CS_5057_5_B_56_1_1,0.1191,1.2987,0.2321,0.23,0.2676,0.1714,0.6021,5.6227,1.1107,1.3008,2.1839,1.4277,5.4816
CS_5057_5_B_56_2_1,0.129,1.44,0.275,0.2665,0.3128,0.2076,0.7393,5.4119,1.3594,1.4553,2.394,1.6099,5.2916
CS_5057_5_B_56_3_1,0.1394,1.6117,0.3025,0.3061,0.349,0.2198,0.7278,5.3341,1.0426,1.2752,2.2219,1.5566,5.1671
CS_5057_5_B_56_4_1,0.135,1.4548,0.2707,0.2776,0.3243,0.2155,0.7028,4.6524,1.2132,1.1655,2.2903,1.5993,4.4935
CS_5057_5_B_57_1_1,0.107,1.1435,0.2005,0.1925,0.2371,0.1565,0.5689,5.9788,1.1078,1.3748,2.0487,1.4531,5.9189
CS_5057_5_B_57_2_1,0.102,1.0741,0.2083,0.2143,0.2523,0.1668,0.5598,6.0437,1.6359,1.6096,2.4758,1.6409,5.801
CS_5057_5_B_57_3_1,0.1033,1.0509,0.2088,0.1993,0.2243,0.1498,0.4464,5.5855,1.7335,1.6403,2.1777,1.4557,5.2712
CS_5057_5_B_57_4_1,0.1474,2.0572,0.3484,0.2831,0.3719,0.2042,0.8345,7.7182,1.0602,0.9126,2.3892,1.3687,7.5795
CS_5057_5_B_58_1_1,0.1264,1.2501,0.2675,0.2648,0.3158,0.2143,0.6469,4.0838,1.3874,1.3187,2.4363,1.6887,4.027
CS_5057_5_B_58_2_1,0.114,0.9738,0.2237,0.2106,0.246,0.1737,0.4771,3.2041,1.3639,1.1798,2.1278,1.5169,3.18
CS_5057_5_B_58_3_1,0.1233,1.1924,0.2499,0.2586,0.2955,0.2003,0.6008,4.0045,1.1028,1.657,2.3639,1.6281,3.8766
CS_5057_5_B_58_4_1,0.1203,1.3171,0.2434,0.2316,0.2681,0.1736,0.578,5.6015,0.9073,1.3365,2.1017,1.4232,5.41
CS_5057_5_B_59_1_1,0.1311,1.535,0.2841,0.2842,0.3256,0.2132,0.8015,5.9356,1.2679,1.3033,2.3748,1.6176,5.6276
CS_5057_5_B_59_2_1,0.1704,1.9637,0.3786,0.3783,0.3842,0.2403,0.6736,3.6247,0.6407,0.8309,2.1341,1.3963,3.5289
CS_5057_5_B_59_3_1,0.1633,1.9893,0.377,0.3308,0.383,0.2396,0.7958,4.8039,1.119,0.9196,2.1887,1.4528,4.5575
CS_5057_5_B_59_4_1,0.1592,1.997,0.3824,0.3199,0.389,0.2344,0.8231,5.4582,1.0317,0.8182,2.2694,1.4567,5.1654
CS_5057_5_B_5_1_1,0.0853,0.8059,0.1587,0.1524,0.1956,0.1322,0.4513,5.6721,1.4607,1.4963,2.2447,1.5561,5.4129
CS_5057_5_B_5_2_1,0.1089,1.1003,0.2289,0.2167,0.2718,0.1835,0.6112,5.2237,1.5927,1.1638,2.4216,1.689,5.0057
CS_5057_5_B_5_3_1,0.1229,1.319,0.2471,0.2474,0.2633,0.1738,0.5037,5.2371,1.4705,1.5034,2.0961,1.4168,4.8446
CS_5057_5_B_60_1_1,0.1309,1.5304,0.2838,0.2767,0.3238,0.2103,0.7981,5.9241,1.2126,1.0378,2.2528,1.609,5.6517
CS_5057_5_B_60_2_1,0.0972,0.8247,0.1702,0.1733,0.2009,0.1387,0.3921,4.0198,1.234,1.2888,2.0056,1.4326,3.8797
CS_5057_5_B_60_3_1,0.1178,1.2689,0.2387,0.239,0.2921,0.1934,0.6546,5.5278,1.4582,1.2323,2.3185,1.6459,5.2496
CS_5057_5_B_60_4_1,0.1153,1.0377,0.22,0.2207,0.2461,0.1699,0.4495,3.654,1.3093,1.1476,2.0534,1.4787,3.5938
CS_5057_5_B_61_1_1,0.1168,1.1498,0.2241,0.2143,0.2584,0.1745,0.5608,4.5356,1.3109,1.4117,2.1104,1.4965,4.303
CS_5057_5_B_61_2_1,0.1226,1.1062,0.2386,0.2407,0.2754,0.1881,0.5445,3.2997,1.1348,1.3319,2.2303,1.5376,3.3054
CS_5057_5_B_61_3_1,0.1255,1.3052,0.2572,0.2548,0.2868,0.1911,0.5822,4.716,1.5155,1.2271,2.2109,1.5157,4.5336
CS_5057_5_B_61_4_1,0.1004,0.9507,0.1937,0.1858,0.2114,0.141,0.4051,4.9488,1.5712,1.4411,2.1139,1.4106,4.8047
CS_5057_5_B_62_1_1,0.1067,1.1828,0.2286,0.2388,0.3036,0.1973,0.7378,6.4434,1.9406,1.6121,2.8454,1.8572,6.2227
CS_5057_5_B_62_2_1,0.1729,2.6128,0.6078,0.5911,0.6888,0.3994,1.1721,7.8242,2.1716,1.4019,3.7429,2.2996,7.3211
CS_5057_5_B_62_3_1,0.1154,1.2559,0.2413,0.2323,0.2835,0.1862,0.6345,5.7739,1.3302,1.3726,2.3597,1.6158,5.4042
CS_5057_5_B_62_4_1,0.1229,1.5805,0.2762,0.2425,0.3249,0.1943,0.7596,7.6634,1.3678,1.3896,2.4332,1.5847,7.3313
CS_5057_5_B_63_1_1,0.1169,1.1877,0.2428,0.2423,0.2777,0.1812,0.529,4.8819,1.3024,1.4608,2.2952,1.5541,4.7827
CS_5057_5_B_63_2_1,0.0771,0.6679,0.1368,0.1322,0.1615,0.1103,0.3219,5.2128,1.5279,1.4138,2.0345,1.4347,4.9786
CS_5057_5_B_63_3_1,0.0856,0.7643,0.158,0.1491,0.1756,0.1218,0.3379,5.0771,1.5798,1.2439,2.0561,1.4275,4.9145
CS_5057_5_B_63_4_1,0.1265,1.3436,0.2601,0.2587,0.2826,0.1828,0.5055,4.9185,1.3108,1.1528,2.1534,1.4433,4.6794
CS_5057_5_B_64_1_1,0.0717,0.5295,0.1113,0.1097,0.1279,0.0908,0.227,4.0872,1.1816,1.2735,1.79,1.2703,4.0727
CS_5057_5_B_64_2_1,0.118,1.3308,0.3178,0.3098,0.3641,0.2284,0.6258,6.0897,1.9982,2.0601,3.077,1.9409,5.8245
CS_5057_5_B_64_3_1,0.0506,0.495,0.1144,0.1131,0.1288,0.0796,0.2222,7.6485,2.0181,2.2049,2.5566,1.5798,7.4039
CS_5057_5_B_64_4_1,0.0693,0.6344,0.1262,0.1256,0.1516,0.1042,0.2977,6.1199,1.5946,1.6093,2.1742,1.5098,5.8859
CS_5057_5_B_65_1_1,0.0792,0.6518,0.1435,0.1393,0.1708,0.1196,0.3462,4.6302,1.5404,1.482,2.1551,1.5151,4.5715
CS_5057_5_B_65_2_1,0.0862,0.8841,0.1683,0.1622,0.1887,0.1258,0.3816,6.5116,1.6242,1.6131,2.1668,1.4659,6.178
CS_5057_5_B_65_3_1,0.0926,1.0355,0.2285,0.2238,0.2518,0.1595,0.4532,7.2186,2.1276,2.073,2.7222,1.7287,7.0733
CS_5057_5_B_65_4_1,0.1353,1.945,0.4567,0.4518,0.5155,0.2844,0.7179,8.8071,2.4222,2.1425,3.4306,2.1012,8.3725
CS_5057_5_B_66_1_1,0.127,1.4491,0.3031,0.3016,0.3649,0.2344,0.7487,5.7933,1.6668,1.6221,2.7706,1.8466,5.5112
CS_5057_5_B_66_2_1,0.0884,0.8281,0.1825,0.1811,0.2145,0.1433,0.4207,5.4232,1.7477,1.6865,2.4291,1.6268,5.1807
CS_5057_5_B_66_3_1,0.0871,0.7812,0.1505,0.1538,0.1764,0.1211,0.348,5.0557,1.4241,1.4386,2.0101,1.3938,4.8841
CS_5057_5_B_66_4_1,0.1255,1.5044,0.2842,0.2985,0.3458,0.2196,0.7568,6.5288,1.7877,1.4758,2.6549,1.7447,6.1585
CS_5057_5_B_67_1_1,0.201,2.9477,0.6453,0.6294,0.7219,0.4169,1.3449,5.7811,0.9959,0.9115,2.9569,2.0141,5.531
CS_5057_5_B_67_2_1,0.1039,1.2009,0.2384,0.2384,0.2909,0.1792,0.6189,7.1024,1.595,1.7922,2.7631,1.7263,6.8107
CS_5057_5_B_67_3_1,0.0801,0.6596,0.1427,0.1456,0.162,0.1113,0.2807,4.5959,1.47,1.6035,2.0158,1.3946,4.4764
CS_5057_5_B_67_4_1,0.1105,1.2212,0.2381,0.2241,0.2749,0.1741,0.5885,6.2056,1.4295,1.6565,2.4839,1.5625,6.0859
CS_5057_5_B_68_1_1,0.0664,0.6492,0.1451,0.1465,0.1946,0.1302,0.4437,6.9165,2.0754,1.9363,2.942,1.9689,6.6476
CS_5057_5_B_68_2_1,0.0975,1.0403,0.2215,0.2216,0.2595,0.1658,0.5253,6.4234,1.9084,1.8487,2.607,1.707,6.3096
CS_5057_5_B_68_3_1,0.1094,1.1309,0.2235,0.2183,0.2743,0.1814,0.6092,5.4657,1.5491,1.688,2.4962,1.6632,5.2003
CS_5057_5_B_68_4_1,0.1302,1.7072,0.3744,0.3682,0.4098,0.2411,0.6605,7.5981,2.2908,2.1653,3.1457,1.8485,7.1072
CS_5057_5_B_69_1_1,0.1404,2.4259,0.5817,0.6044,0.7025,0.3599,0.9733,11.926,3.5539,3.7693,5.0,2.5503,11.3419
CS_5057_5_B_69_2_1,0.16,2.4016,0.5552,0.5501,0.6612,0.3888,1.2181,8.3506,2.2838,2.182,4.0719,2.4172,7.9295
CS_5057_5_B_69_3_1,0.1208,1.1603,0.2516,0.2439,0.2853,0.1934,0.5529,4.052,1.319,1.1516,2.3483,1.6035,4.0172
CS_5057_5_B_69_4_1,0.1318,1.9044,0.4775,0.4894,0.5629,0.3148,0.8294,9.0481,3.0358,2.9814,4.2627,2.389,8.8145
CS_5057_5_B_6_1_1,0.0784,0.6467,0.1281,0.1258,0.1503,0.1041,0.2876,4.6938,1.3866,1.3792,1.8826,1.3306,4.6769
CS_5057_5_B_6_2_1,0.0663,0.5258,0.1029,0.1018,0.1166,0.0832,0.2191,4.9491,1.3945,1.4508,1.7582,1.2596,4.7766
CS_5057_5_B_6_4_1,0.0796,0.8105,0.1557,0.1639,0.1871,0.1224,0.4174,6.7413,1.6416,1.8852,2.351,1.5446,6.3854
CS_5057_5_B_73_1_1,0.1365,1.5119,0.2942,0.3006,0.313,0.1997,0.527,4.9267,1.2247,1.3366,2.1487,1.4597,4.6795
CS_5057_5_B_73_2_1,0.162,2.4924,0.5638,0.5647,0.6535,0.3596,1.0467,8.7012,2.1804,2.4463,3.9304,2.2019,8.2987
CS_5057_5_B_73_3_1,0.1257,1.5162,0.3008,0.2873,0.3411,0.2205,0.723,6.6116,1.0526,1.7395,2.5897,1.7584,6.2525
CS_5057_5_B_73_4_1,0.1165,1.6468,0.3323,0.3248,0.3576,0.2102,0.7607,9.3977,2.5269,1.7505,3.0723,1.8046,8.9064
CS_5057_5_B_74_1_1,0.1587,1.8599,0.3605,0.3486,0.4079,0.2595,0.8492,4.5039,1.051,0.5655,2.4585,1.6047,4.3937
CS_5057_5_B_74_2_1,0.1225,1.3345,0.2602,0.2514,0.2788,0.1834,0.5804,5.4272,1.6138,1.4472,2.2602,1.4992,5.1217
CS_5057_5_B_74_3_1,0.1117,1.1244,0.2335,0.2459,0.2692,0.1763,0.5411,5.0497,1.5294,1.4594,2.3816,1.5852,4.8888
CS_5057_5_B_74_4_1,0.0769,0.9316,0.2119,0.2125,0.2602,0.1536,0.4316,8.9686,2.6245,2.5737,3.3777,2.0037,8.5895
CS_5057_5_B_75_1_1,0.122,1.445,0.2733,0.2835,0.3327,0.2136,0.8098,6.5437,1.7331,1.8878,2.5745,1.7575,6.2806
CS_5057_5_B_75_2_1,0.161,2.273,0.5022,0.4931,0.5838,0.3482,1.1259,7.2311,1.9557,1.8871,3.3235,2.1621,6.9278
CS_5057_5_B_75_3_1,0.2132,3.3424,0.6262,0.6025,0.7366,0.4141,1.7474,6.3718,0.8311,0.679,2.9715,1.8269,6.0029
CS_5057_5_B_75_4_1,0.1256,1.4157,0.2835,0.2691,0.3289,0.2113,0.7535,5.7096,1.2971,1.4876,2.5393,1.6552,5.3969
CS_5057_5_B_76_1_1,0.1377,1.4516,0.2789,0.2776,0.2968,0.1962,0.5397,4.2464,1.2641,1.1183,2.0541,1.4244,3.9637
CS_5057_5_B_76_2_1,0.1458,1.6967,0.3402,0.3319,0.3767,0.2434,0.7513,5.0876,1.304,1.3156,2.4445,1.6579,4.7349
CS_5057_5_B_76_3_1,0.1388,1.7563,0.366,0.3806,0.4357,0.2636,0.8079,6.6332,1.6614,1.8827,3.0701,1.8837,6.6244
CS_5057_5_B_76_4_1,0.1033,1.1645,0.2325,0.2273,0.2718,0.176,0.5382,6.8051,1.7747,1.8263,2.5483,1.7095,6.4611
CS_5057_5_B_77_1_1,0.1141,1.1884,0.2509,0.2451,0.2727,0.1794,0.5483,5.3175,1.6841,1.6472,2.3035,1.5752,5.069
CS_5057_5_B_77_2_1,0.1341,1.7301,0.327,0.3358,0.3931,0.2412,0.8433,7.1562,1.605,1.8562,2.8661,1.7881,6.7925
CS_5057_5_B_77_3_1,0.1416,1.8271,0.3583,0.3651,0.418,0.26,0.8806,6.7907,1.4902,1.8537,2.892,1.8321,6.4047
CS_5057_5_B_77_4_1,0.1238,1.4337,0.3128,0.3014,0.384,0.249,0.7866,6.1529,1.9294,1.8637,3.0485,2.0163,5.8754
CS_5057_5_B_78_1_1,0.1501,1.7417,0.3295,0.3179,0.3759,0.2386,0.8601,4.8214,1.0146,1.2844,2.4015,1.5809,4.6698
CS_5057_5_B_78_2_1,0.1424,1.8839,0.4013,0.4072,0.4423,0.2614,0.7399,7.1315,1.7291,2.1441,3.083,1.8295,6.7619
CS_5057_5_B_78_3_1,0.0721,0.6947,0.1638,0.1692,0.1924,0.1214,0.307,6.5025,2.0844,2.1795,2.6768,1.6884,6.2585
CS_5057_5_B_78_4_1,0.1072,1.0994,0.2088,0.2094,0.2521,0.1693,0.5957,5.4758,1.4271,1.2597,2.348,1.5844,5.3538
CS_5057_5_B_79_1_1,0.1342,1.8874,0.4449,0.4484,0.5252,0.3058,0.8486,8.4867,2.8759,2.6224,3.8852,2.2818,7.9189
CS_5057_5_B_79_2_1,0.1265,1.5921,0.3854,0.3676,0.43,0.2571,0.7087,7.1719,1.9413,2.336,3.22,2.0248,6.8273
CS_5057_5_B_79_3_1,0.096,0.8115,0.1722,0.1763,0.1931,0.133,0.3456,4.0462,1.423,1.1807,1.9935,1.3916,3.8525
CS_5057_5_B_79_4_1,0.1447,2.0432,0.5031,0.501,0.5857,0.3274,0.8208,8.0553,2.5161,2.7831,4.0053,2.2642,7.6131
CS_5057_5_B_7_1_1,0.0281,0.1516,0.0395,0.0392,0.0483,0.0363,0.0866,4.11,1.4052,1.3681,1.7253,1.296,3.9821
CS_5057_5_B_7_2_1,0.0874,1.6473,0.3916,0.3519,0.4456,0.2278,0.6627,15.856,4.4724,4.0089,5.116,2.6162,15.2421
CS_5057_5_B_7_3_1,0.0888,0.787,0.1486,0.1528,0.1799,0.1222,0.3807,4.8596,1.2529,1.3778,2.0223,1.3722,4.7737
CS_5057_5_B_80_1_1,0.1172,1.2056,0.2669,0.2668,0.3022,0.1963,0.5125,5.0081,1.4932,1.7144,2.5163,1.6745,4.8243
CS_5057_5_B_80_2_1,0.1055,1.1018,0.2472,0.2421,0.2912,0.1874,0.5146,5.7753,2.047,1.8924,2.7574,1.7831,5.5222
CS_5057_5_B_80_3_1,0.0859,0.8039,0.1611,0.1617,0.1924,0.1296,0.3776,5.5322,1.6268,1.5202,2.2261,1.5137,5.367
CS_5057_5_B_80_4_1,0.065,0.4776,0.1013,0.0967,0.1183,0.0838,0.2252,4.3807,1.3616,1.343,1.8206,1.2941,4.2796
CS_5057_5_B_81_1_1,0.0988,0.8986,0.1866,0.1902,0.2117,0.1443,0.4038,4.6137,1.46,1.3204,2.1307,1.467,4.3861
CS_5057_5_B_81_2_1,0.1307,1.353,0.2803,0.2662,0.3137,0.2098,0.6539,4.3974,1.3947,1.2225,2.2163,1.6018,4.2856
CS_5057_5_B_81_3_1,0.0815,0.7144,0.1526,0.1557,0.1817,0.1222,0.3509,5.0998,1.6073,1.6857,2.2326,1.4975,5.0859
CS_5057_5_B_81_4_1,0.094,0.9451,0.1876,0.1923,0.2184,0.1438,0.4623,5.9158,1.487,1.8122,2.2658,1.5363,5.8645
CS_5057_5_B_82_1_1,0.0968,1.5789,0.4124,0.4233,0.4843,0.2564,0.6738,12.689,3.7998,4.0916,5.0135,2.6562,12.2526
CS_5057_5_B_82_2_1,0.1235,1.3843,0.3053,0.3075,0.3435,0.2104,0.5689,5.7444,1.7423,1.6845,2.7672,1.6893,5.4424
CS_5057_5_B_82_3_1,0.1406,2.0085,0.4745,0.4783,0.5538,0.3177,0.8776,8.442,2.52,2.8364,3.8401,2.2581,7.8871
CS_5057_5_B_82_4_1,0.1378,1.7042,0.36,0.3461,0.4109,0.2537,0.7796,6.3592,1.4748,1.6849,2.8457,1.8391,6.1753
CS_5057_5_B_83_1_1,0.1294,1.5126,0.3341,0.3292,0.3583,0.2142,0.5785,6.0022,1.8214,1.7087,2.7526,1.6583,5.8297
CS_5057_5_B_83_2_1,0.0741,0.5079,0.1186,0.1185,0.1444,0.1028,0.2634,3.4019,1.3918,1.3027,1.9252,1.3922,3.4
CS_5057_5_B_83_4_1,0.0933,0.7982,0.1555,0.152,0.1723,0.1216,0.3131,4.2901,1.307,1.2044,1.82,1.3082,4.0838
CS_5057_5_B_84_1_1,0.1113,1.13,0.2308,0.2324,0.2579,0.1671,0.452,5.1573,1.299,1.2592,2.1418,1.4966,4.9075
CS_5057_5_B_84_2_1,0.1162,1.2094,0.2357,0.234,0.2719,0.1788,0.5514,5.2024,0.9861,1.4119,2.3207,1.5337,4.95
CS_5057_5_B_84_3_1,0.142,1.581,0.3211,0.3168,0.3674,0.2392,0.7408,4.7008,1.529,1.0401,2.5794,1.6807,4.5658
CS_5057_5_B_84_4_1,0.1039,1.0255,0.2047,0.2117,0.241,0.1613,0.5196,5.2204,1.5012,1.7004,2.2831,1.557,5.0502
CS_5057_5_B_85_1_1,0.0897,0.7644,0.1638,0.1624,0.1968,0.1368,0.4098,4.4371,1.4978,1.4,2.1809,1.5292,4.2231
CS_5057_5_B_85_2_1,0.1238,1.2902,0.2527,0.2462,0.2697,0.1764,0.482,4.8351,1.1098,1.0002,2.0472,1.4291,4.5905
CS_5057_5_B_85_3_1,0.1009,1.4795,0.3813,0.3733,0.456,0.247,0.6273,10.6995,3.2479,3.4253,4.5067,2.4541,10.1343
CS_5057_5_B_85_4_1,0.1213,1.3203,0.2486,0.2451,0.2562,0.167,0.449,5.4844,1.528,1.4078,2.0506,1.3777,5.0529
CS_5057_5_B_86_1_1,0.0693,0.5191,0.1117,0.112,0.1296,0.0916,0.2451,4.3195,1.3688,1.3065,1.8339,1.3228,4.2941
CS_5057_5_B_86_2_1,0.1143,1.1525,0.2406,0.2367,0.2752,0.1845,0.5609,4.9362,1.479,1.7558,2.4016,1.611,4.8937
CS_5057_5_B_86_3_1,0.1095,1.1258,0.2389,0.2187,0.2688,0.1759,0.5405,5.3993,1.7148,1.3163,2.4465,1.6128,5.2226
CS_5057_5_B_86_4_1,0.0668,0.5956,0.1158,0.1186,0.14,0.0945,0.2987,5.9768,1.563,1.6082,2.1022,1.4211,5.8518
CS_5057_5_B_87_1_1,0.1184,1.1629,0.2314,0.2299,0.2434,0.1642,0.4251,4.4254,1.1802,1.5593,1.996,1.3886,4.124
CS_5057_5_B_87_2_1,0.1417,1.5714,0.3249,0.3247,0.3531,0.2295,0.6967,4.6655,1.1134,1.3739,2.2765,1.6053,4.4162
CS_5057_5_B_87_3_1,0.0751,0.7177,0.152,0.1479,0.1684,0.112,0.2962,6.2723,1.8576,1.858,2.2153,1.497,5.9417
CS_5057_5_B_87_4_1,0.1153,1.8508,0.5307,0.5258,0.6111,0.363,0.9432,11.6177,3.908,4.118,5.3065,3.1577,11.1797
CS_5057_5_B_88_1_1,0.0837,0.7938,0.1385,0.129,0.1649,0.1111,0.3557,5.79,1.3063,1.118,1.9507,1.3332,5.6249
CS_5057_5_B_88_2_1,0.0596,0.3804,0.0853,0.085,0.1002,0.0738,0.1697,3.6186,1.2593,1.1809,1.654,1.2424,3.5302
CS_5057_5_B_88_3_1,0.1328,1.4535,0.281,0.2718,0.3156,0.2041,0.6463,4.9624,1.2059,1.165,2.286,1.533,4.8226
CS_5057_5_B_88_4_1,0.1436,1.8065,0.361,0.329,0.4016,0.2444,0.8469,6.305,1.4085,1.1075,2.7197,1.6982,6.3156
CS_5057_5_B_89_1_1,0.1207,1.2357,0.2427,0.2476,0.2801,0.185,0.5704,4.7843,1.2842,1.4196,2.2504,1.5362,4.5982
CS_5057_5_B_89_2_1,0.1048,1.1153,0.1991,0.1904,0.228,0.1495,0.4813,6.0355,1.2939,1.2666,2.1024,1.4322,5.795
CS_5057_5_B_89_3_1,0.0941,0.8551,0.1735,0.1687,0.2044,0.1395,0.4281,4.8329,1.2494,1.5485,2.1625,1.4861,4.7489
