image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_18_3_1,0.11,0.9933,0.2095,0.2111,0.2622,0.1776,0.5309,3.9661,1.3143,1.4989,2.3597,1.6194,3.8353
CS_5057_5_B_18_4_1,0.0929,0.9129,0.2064,0.1929,0.2452,0.1632,0.5482,5.7186,1.7952,1.7588,2.6455,1.7642,5.6202
CS_5057_5_B_19_1_1,0.116,1.3345,0.267,0.2315,0.3166,0.1943,0.6947,6.4485,1.6458,1.3586,2.6915,1.681,6.4238
CS_5057_5_B_19_2_1,0.1199,1.4341,0.2953,0.2937,0.336,0.2092,0.6125,6.7863,1.7285,2.12,2.7576,1.7494,6.3879
CS_5057_5_B_19_3_1,0.0927,0.8742,0.174,0.1717,0.2086,0.1413,0.4611,5.2803,1.3784,1.4751,2.253,1.5279,5.0963
CS_5057_5_B_19_4_1,0.0645,0.6022,0.1386,0.143,0.1873,0.1248,0.4321,6.5331,2.0699,2.2112,2.8566,1.9426,6.2406
CS_5057_5_B_1_1_1,0.053,0.3651,0.0853,0.086,0.1096,0.0769,0.2212,4.4787,1.5327,1.5947,2.0757,1.4571,4.3415
CS_5057_5_B_1_2_1,0.0346,0.1936,0.0481,0.0485,0.0608,0.0447,0.1164,4.0039,1.3854,1.338,1.7636,1.2957,3.9565
CS_5057_5_B_1_3_1,0.0809,0.7203,0.1338,0.1435,0.1707,0.1175,0.3995,5.2914,1.36,1.5093,2.1102,1.4588,5.0654
CS_5057_5_B_20_1_1,0.0893,0.8862,0.168,0.1558,0.2129,0.1372,0.496,5.9893,1.6256,1.4856,2.37,1.5417,5.8033
CS_5057_5_B_20_2_1,0.0486,0.3704,0.0769,0.0758,0.0981,0.0681,0.2234,5.4504,1.4117,1.5425,2.0218,1.4061,5.3498
CS_5057_5_B_20_3_1,0.0745,0.5817,0.1279,0.1297,0.1638,0.1134,0.3445,4.4092,1.4151,1.4762,2.104,1.5282,4.2782
CS_5057_5_B_20_4_1,0.0744,0.4867,0.1067,0.1074,0.1199,0.0898,0.2042,3.046,1.1863,1.1681,1.6098,1.2115,2.9192
CS_5057_5_B_21_1_1,0.1292,1.2603,0.2417,0.237,0.2549,0.1737,0.467,3.7813,1.1345,1.12,1.8608,1.3457,3.6307
CS_5057_5_B_22_1_1,0.0972,1.0435,0.2143,0.2208,0.2475,0.1572,0.4803,6.5159,1.8229,1.8471,2.5556,1.6244,6.3051
CS_5057_5_B_22_2_1,0.0814,0.7304,0.1562,0.1572,0.1947,0.1326,0.4196,5.3431,1.6117,1.6315,2.3419,1.6363,5.2528
CS_5057_5_B_22_3_1,0.0982,0.8896,0.1862,0.1874,0.2283,0.1518,0.4897,4.5999,1.5252,1.5582,2.3103,1.5517,4.6582
CS_5057_5_B_23_1_1,0.0774,0.6265,0.1479,0.1429,0.1803,0.1262,0.3874,4.5759,1.6249,1.4829,2.3291,1.6367,4.5655
CS_5057_5_B_23_2_1,0.0645,0.4741,0.1128,0.1122,0.1439,0.1002,0.2844,4.4081,1.552,1.6395,2.2358,1.5598,4.3342
CS_5057_5_B_23_3_1,0.0946,0.8202,0.1761,0.1771,0.2053,0.141,0.3804,4.3471,1.3736,1.572,2.1678,1.4916,4.2537
CS_5057_5_B_23_4_1,0.0893,0.8367,0.1754,0.1673,0.2116,0.1434,0.4687,5.3879,1.8054,1.1573,2.3643,1.6121,5.2259
CS_5057_5_B_24_1_1,0.1105,0.9927,0.1895,0.1928,0.2075,0.1441,0.3741,3.8846,1.2182,1.2376,1.7946,1.3023,3.7094
CS_5057_5_B_24_2_1,0.1118,1.1952,0.2179,0.2122,0.2765,0.1794,0.7078,5.7493,1.1888,1.3653,2.3579,1.6112,5.6122
CS_5057_5_B_24_3_1,0.0892,0.8977,0.1625,0.1587,0.2013,0.1344,0.5038,6.1533,1.5052,1.309,2.2302,1.5079,5.9863
CS_5057_5_B_24_4_1,0.1405,1.4545,0.2761,0.2719,0.3046,0.2033,0.6236,3.8705,0.8086,1.1007,2.0645,1.4391,3.7958
CS_5057_5_B_25_1_1,0.1298,1.38,0.2904,0.2758,0.3375,0.2234,0.7446,4.7572,1.4413,0.9271,2.5487,1.7279,4.5298
CS_5057_5_B_25_2_1,0.1564,2.7228,0.6237,0.6605,0.8318,0.4471,1.4187,11.3616,3.0994,2.9715,5.2113,2.8651,10.7673
CS_5057_5_B_25_3_1,0.11,1.0587,0.2105,0.2104,0.2385,0.1611,0.467,4.6327,1.5043,1.1888,2.0651,1.4685,4.4288
CS_5057_5_B_25_4_1,0.083,0.8726,0.1713,0.1742,0.2116,0.14,0.4578,6.9295,1.7425,1.7065,2.528,1.6896,6.6184
CS_5057_5_B_26_1_1,0.0818,0.8419,0.1588,0.1583,0.1714,0.1145,0.3046,6.7456,1.592,1.8294,2.0963,1.4048,6.3725
